name,firm,cik,status
Steven Scruggs,FPA,,no_13f
Stockbridge Partners,Stockbridge Partners,0001505183,resolved
Stone Ridge Holdings Group,Stone Ridge Holdings Group,0002019841,resolved
Stony Point Capital,Stony Point Capital,0001776023,resolved
Strategy Capital,Strategy Capital,0001592413,resolved
Styrax Capital,Styrax Capital,0001904897,resolved
SurgoCap Partners,SurgoCap Partners,0001960830,resolved
T Rowe Price Equity Income Fund,T. Rowe Price Associates,,no_13f
T. Rowe Price,T. Rowe Price Investment Management,0001897612,resolved
T. Rowe Price Japan Fund,T. Rowe Price Associates,,no_13f
TCG Crossover Management,TCG Crossover Management,0001839948,resolved
TCI Fund Management,TCI Fund Management,0001647251,resolved
TIMUCUAN ASSET MANAGEMENT INC/FL,TIMUCUAN ASSET MANAGEMENT INC/FL,0001034541,resolved
TOMS Capital Investment Management,TOMS Capital Investment Management,0001743937,resolved
TPG GP A,TPG GP A,0001903793,resolved
Technology Crossover Management X,Technology Crossover Management X,0001787727,resolved
Teewinot Capital Advisers,Teewinot Capital Advisers,0001574886,resolved
Teilinger Capital,Teilinger Capital,0001531879,resolved
Theleme Partners,Theleme Partners,0001511881,resolved
Third Avenue Management,Third Avenue Management,0001002858,resolved
Third Avenue Value Fund,Third Avenue Management,0001099281,resolved
Tiger Management,Tiger Management,0001011440,resolved
Tom Gayner,Markel Group,0001096343,resolved
Tom Russo,Gardner Russo & Quinn,0000860643,resolved
Topline Capital Management,Topline Capital Management,0001792549,resolved
Trans-Canada Capital Inc.,Trans-Canada Capital Inc.,0001896476,resolved
Trinity Street Asset Management,Trinity Street Asset Management,0001592579,resolved
Trivest Advisors,Trivest Advisors,0001555623,resolved
Troy Asset Management,Troy Asset Management,0001601407,resolved
Turtle Creek Asset Management Inc.,Turtle Creek Asset Management Inc.,0001484148,resolved
Tweedy Browne,Tweedy Browne Company,0000732905,resolved
Tweedy Browne International Value,Tweedy Browne Company,,no_13f
Two Creeks Capital Management,Two Creeks Capital Management,0001606430,resolved
Two Seas Capital,Two Seas Capital,0001823138,resolved
Ursa Fund Management,Ursa Fund Management,0001693838,resolved
VR ADVISER,VR ADVISER,0001615982,resolved
Valiant Capital Management,Valiant Capital Management,0001452689,resolved
Value Partners Group,Value Partners Group,0001649910,resolved
ValueAct Capital,ValueAct Capital Management,0001351069,resolved
ValueAct Holdings,ValueAct Holdings,0001418814,resolved
Vanguard Group,Vanguard Group,0000102909,resolved
Veritas Asset Management,Veritas Asset Management,0001541448,resolved
Vivo Capital,Vivo Capital,0001674712,resolved
Voyager Global Management,Voyager Global Management,0001849753,resolved
Vulcan Value Partners,Vulcan Value Partners,0001556785,resolved
WGI DM,WGI DM,0002059126,resolved
WINDACRE PARTNERSHIP,WINDACRE PARTNERSHIP,0001599383,resolved
WIT,WIT,,no_13f
WS MANAGEMENT LLLP,WS MANAGEMENT LLLP,0000877338,resolved
WT Asset Management,WT Asset Management,0001780365,resolved
Wallace Weitz,Weitz Investment Management,0000883965,resolved
Warren Buffett,Berkshire Hathaway,0001067983,resolved
Wasatch International Growth,Wasatch Global Investors,0000814133,resolved
Westwood Global Investments,Westwood Global Investments,0001356513,resolved
Whale Rock Capital Management,Whale Rock Capital Management,0001387322,resolved
XN,XN,0001756558,resolved
YCG,YCG,,no_13f
Yacktman Asset Management,Yacktman Asset Management,0000905567,resolved
Yacktman Focused Fund,Yacktman Asset Management,,no_13f
Yacktman Fund,Yacktman Asset Management,,no_13f
Yale University,Yale University,0000938582,resolved
a16z Capital Management,a16z Capital Management,0001540358,resolved
BlackRock,BlackRock,0001364742,resolved
AQR Capital Management,AQR Capital Management,0001167557,resolved
Balyasny Asset Management,Balyasny Asset Management,0001218710,resolved
Brown Advisory,Brown Advisory,0001114667,resolved
Capula Investment Management,Capula Investment Management,,no_13f
